DATATYPE	N_SAMPLES	N_FEATURES	N_NEIGHBORS	N_COMPONENTS	TIME_ISOMAP	TIME_METRICS	SCORE_JACCARD
blobs	1000	2	200	2	0.36148074800439645	1.085550884999975	0.7011085630445049
blobs	1000	10	200	10	1.1912516559968935	0.8467550780042075	0.798312150147525
blobs	1000	5	200	5	2.48927133899997	1.095165029000782	0.7990581844990684
blobs	1000	25	200	25	3.595836157001031	1.0053860150001128	0.7913759887109801
blobs	1000	2	200	2	2.8185420659938245	0.8203298860025825	0.7011085630445049
blobs	1000	50	200	50	4.618007028999273	1.032632509006362	0.7827296151341714
blobs	1000	10	200	10	3.6331273800024064	0.6823725569993258	0.798312150147525
blobs	1000	100	200	100	5.7229550250049215	0.8128498090009089	0.7845712310680892
blobs	1000	5	200	5	3.838662440000917	0.23233564299880527	0.7990581844990684
blobs	1000	200	200	200	7.4557225959943025	0.7507168399970396	0.7969406882722891
blobs	1000	2	200	2	3.396764411998447	0.6697214950036141	0.7011085630445049
blobs	1000	25	200	25	4.084960763997515	0.6023106619977625	0.7913759887109801
blobs	1000	50	200	50	3.641030987004342	0.6642321500039543	0.7827296151341714
blobs	1000	500	200	500	9.759118399997533	1.532940126999165	0.7948702315592169
blobs	1000	10	200	10	3.4679521710058907	1.3056409650016576	0.798312150147525
blobs	1000	5	200	5	3.655455250001978	0.719286973006092	0.7990581844990684
blobs	1000	100	200	100	5.27484942600131	0.7997933180013206	0.7845712310680892
blobs	1000	2	200	2	3.1678510639976594	0.7954527010006132	0.7011085630445049
blobs	1000	25	200	25	3.3385759939992568	0.6329809929957264	0.7913759887109801
blobs	1000	200	200	200	5.094309363994398	1.266935084000579	0.7969406882722891
blobs	1000	50	200	50	3.298243659999571	1.3048111850002897	0.7827296151341714
blobs	1000	10	200	10	3.2890457379980944	0.4645733370052767	0.798312150147525
blobs	1000	5	200	5	2.5936505850040703	0.43850566699984483	0.7990581844990684
blobs	1000	2	200	2	1.8301473070023349	0.9909609140013345	0.7011085630445049
blobs	1000	25	200	25	2.8380933160005952	1.011856605997309	0.7913759887109801
blobs	1000	100	200	100	4.5233253210026305	1.0626315100016654	0.7845712310680892
blobs	1000	5	200	5	3.213913726998726	0.9247634589992231	0.7990581844990684
blobs	1000	50	200	50	3.651853929994104	0.9485308559960686	0.7827296151341714
blobs	1000	500	200	500	6.905748898003367	1.203870156998164	0.7948702315592169
blobs	1000	10	200	10	4.136600347002968	0.44687422000424704	0.798312150147525
blobs	1000	200	200	200	4.858599569000944	0.8453763569996227	0.7969406882722891
blobs	1000	25	200	25	3.1843580929999007	0.28425394099758705	0.7913759887109801
blobs	1000	100	200	100	2.1394925839995267	0.6526845479966141	0.7845712310680892
blobs	1000	50	200	50	1.1733678710006643	0.5982145149973803	0.7827296151341714
blobs	1000	200	200	200	1.1923118519989657	1.0626409479955328	0.7969406882722891
blobs	1000	100	200	100	1.5817960770000354	0.7915574350045063	0.7845712310680892
blobs	1000	500	200	500	3.191529843999888	0.9573936680026236	0.7948702315592169
blobs	1000	200	200	200	1.0435352369968314	0.35289319999719737	0.7969406882722891
blobs	1000	500	200	500	0.9607473230062169	0.5927385690010851	0.7948702315592169
blobs	1000	500	200	500	0.7709964570021839	0.5882428449986037	0.7948702315592169
