DATATYPE	N_SAMPLES	N_FEATURES	N_NEIGHBORS	N_COMPONENTS	TIME_ISOMAP	TIME_METRICS	SCORE_JACCARD
moons	1000	25	200	25	0.20510701600142056	1.307712088993867	0.7618815596237741
moons	1000	25	200	25	0.24583129700477002	0.48839809999481076	0.7618815596237741
gaussian_quantiles	1000	25	200	25	1.7122712039999897	0.5387650900011067	0.1711804655211825
blobs	1000	25	200	25	1.7347989790068823	0.6896665340027539	0.7987460089486738
moons	1000	25	200	25	1.395877978997305	0.21116066399554256	0.7618815596237741
gaussian_quantiles	1000	25	200	25	1.7859577649942366	0.6875853899982758	0.1711804655211825
blobs	1000	25	200	25	1.6354915440024342	0.670627446997969	0.7987460089486738
moons	1000	25	200	25	0.22037261700461386	0.6503319849944091	0.7618815596237741
moons	1000	25	200	25	1.2503222349987482	0.20951901800435735	0.7618815596237741
blobs	1000	25	200	25	1.534647856002266	0.4774293629961903	0.7987460089486738
gaussian_quantiles	1000	25	200	25	1.519953135997639	0.5042580110020936	0.1711804655211825
blobs	1000	25	200	25	1.1866731609989074	0.24854964700352866	0.7987460089486738
gaussian_quantiles	1000	25	200	25	1.1612938879989088	0.4994691409956431	0.1711804655211825
blobs	1000	25	200	25	1.1520713869977044	0.25163089700072305	0.7987460089486738
gaussian_quantiles	1000	25	200	25	1.1262871970029664	0.5016591150051681	0.1711804655211825
