DATATYPE	N_SAMPLES	N_FEATURES	N_NEIGHBORS	N_COMPONENTS	TIME_ISOMAP	TIME_METRICS	SCORE_JACCARD
blobs	5000	25	1250	25	71.60631925800408	21.739753417998145	0.7359753144306524
blobs	5000	25	1250	25	72.34669434399984	21.76904600400303	0.7359753144306524
blobs	5000	25	1250	25	70.28401966600359	21.723473277997982	0.7359753144306524
blobs	5000	25	1250	25	70.5400754029979	21.730564091005363	0.7359753144306524
blobs	5000	25	1250	25	70.36596521400497	22.330993832001695	0.7359753144306524
blobs	5000	25	1000	25	71.83530253999925	19.56354192100116	0.7984335016252561
blobs	5000	25	1000	25	71.31853445700108	19.466409077998833	0.7984335016252561
blobs	5000	25	1000	25	70.00219698000001	19.492316421994474	0.7984335016252561
blobs	5000	25	1000	25	70.04824039099913	19.782911417998548	0.7984335016252561
blobs	5000	25	1000	25	77.79705337199994	19.45770096499473	0.7984335016252561
blobs	5000	25	833	25	77.87041668099846	18.10589309199713	0.6652513852836303
blobs	5000	25	833	25	72.09475674099667	18.224178864998976	0.6652513852836303
blobs	5000	25	833	25	73.01307000900124	18.21275672000047	0.6652513852836303
blobs	5000	25	833	25	77.29523904500093	18.56620445199951	0.6652513852836303
blobs	5000	25	833	25	71.74832251599582	18.192357059000642	0.6652513852836303
blobs	5000	25	714	25	71.16216600600455	16.77510910700221	0.570299062679376
blobs	5000	25	714	25	71.49345275999804	16.889344574999996	0.570299062679376
blobs	5000	25	714	25	71.53491526699509	16.92629420800222	0.570299062679376
blobs	5000	25	714	25	72.98086340399459	16.701257148000877	0.570299062679376
blobs	5000	25	714	25	71.82719368800463	17.10736246599845	0.570299062679376
