DATATYPE	N_SAMPLES	N_FEATURES	N_NEIGHBORS	N_COMPONENTS	TIME_ISOMAP	TIME_METRICS	SCORE_JACCARD
blobs	10	25	2	25	0.04051530699507566	0.0004846110023208894	1.0
blobs	10	25	2	25	0.004641375002393033	0.0006784449942642823	1.0
blobs	100	25	20	25	0.05159805799485184	0.002503751005860977	0.7112966552572255
blobs	10	25	2	25	0.008430849004071206	0.00475594599993201	1.0
blobs	10	25	2	25	0.004253621998941526	0.005610535001324024	1.0
blobs	100	25	20	25	0.01981420300580794	0.0026366319943917915	0.7112966552572255
blobs	10	25	2	25	0.011690659994201269	0.0003084839991061017	1.0
blobs	100	25	20	25	0.019012334996659774	0.002274104001116939	0.7112966552572255
blobs	100	25	20	25	0.014610975995310582	0.002099498000461608	0.7112966552572255
blobs	100	25	20	25	0.016729269998904783	0.0015961319950292818	0.7112966552572255
blobs	1000	25	200	25	0.5526933500004816	0.24986010699649341	0.7374683584190046
blobs	1000	25	200	25	0.4331935380032519	0.24757357699854765	0.7374683584190046
blobs	1000	25	200	25	75.02604810400226	0.26022057199588744	0.7374683584190046
blobs	1000	25	200	25	0.4379339320003055	0.2638463769981172	0.7374683584190046
blobs	1000	25	200	25	0.9504414100010763	0.2445535469960305	0.7374683584190046
blobs	5000	25	1000	25	78.39536290799879	19.72724368100171	0.7936763521130743
blobs	5000	25	1000	25	78.58520543399936	19.683140368993918	0.7936763521130743
blobs	5000	25	1000	25	80.0793241920037	19.63237592799851	0.7936763521130743
blobs	5000	25	1000	25	78.21078208999825	19.814807950002432	0.7936763521130743
blobs	5000	25	1000	25	77.40673702200002	19.915270973993756	0.7936763521130743
